Wavenumber (cm-1),Original Intensity,Fitted Intensity,Residual
401.0,0.306693971157074,0.3821070565293171,-0.07541308537224312
402.0,0.2983846366405487,0.38195265364485403,-0.08356801700430533
403.0,0.2941252291202545,0.38175503038121006,-0.08762980126095554
404.0,0.2938409149646759,0.38151460554596867,-0.08767369058129276
405.0,0.2945670187473297,0.381231848173916,-0.08666482942658627
406.0,0.29634296894073486,0.3809072762330496,-0.08456430729231473
407.0,0.30186891555786133,0.3805414552016924,-0.07867253964383109
408.0,0.3064423203468323,0.3801349965243692,-0.07369267617753694
409.0,0.30167850852012634,0.37968855595465834,-0.07801004743453199
410.0,0.28586098551750183,0.37920283179371245,-0.09334184627621062
411.0,0.2757672071456909,0.37867856303355396,-0.10291135588786304
412.0,0.28409722447395325,0.37811652741459445,-0.0940193029406412
413.0,0.30061641335487366,0.37751753940709143,-0.07690112605221777
414.0,0.3087308704853058,0.37688244812645233,-0.06815157764114654
415.0,0.3064115345478058,0.37621213519241203,-0.06980060064460625
416.0,0.3018532693386078,0.375507512542161,-0.07365424320355324
417.0,0.2988036572933197,0.3747695202074794,-0.07596586291415969
418.0,0.2887859642505646,0.37399912406583746,-0.08521315981527289
419.0,0.28074684739112854,0.373197313575278,-0.09245046618414948
420.0,0.28527092933654785,0.372365099502673,-0.08709417016612514
421.0,0.2976659834384918,0.3715035116546813,-0.0738375282161895
422.0,0.30618348717689514,0.37061359662041166,-0.06443010944351651
423.0,0.3032139539718628,0.36969641553442384,-0.06648246156256105
424.0,0.2954394817352295,0.3687530418682932,-0.07331356013306373
425.0,0.2923901379108429,0.36778455925851444,-0.07539442134767155
426.0,0.2976028621196747,0.3667920593780477,-0.06918919725837303
427.0,0.3047257661819458,0.3657766398583021,-0.06105087367635631
428.0,0.3085263967514038,0.3647394022678328,-0.05621300551642899
429.0,0.3138165771961212,0.3636814501534925,-0.0498648729573713
430.0,0.3171059787273407,0.36260388714922764,-0.045497908421886946
431.0,0.311855286359787,0.3615078151571644,-0.049652528797377415
432.0,0.29932737350463867,0.3603943326050752,-0.061066959100436524
433.0,0.2918175756931305,0.3592645327837745,-0.06744695709064402
434.0,0.2899061143398285,0.3581195022674555,-0.06821338792762699
435.0,0.2879585921764374,0.35696031941945366,-0.06900172724301629
436.0,0.2865852117538452,0.35578805298541993,-0.06920284123157472
437.0,0.28741154074668884,0.35460376077539213,-0.06719222002870329
438.0,0.28840145468711853,0.3534084884357917,-0.06500703374867317
439.0,0.2865523099899292,0.35220326831192583,-0.06565095832199663
440.0,0.2815972864627838,0.35098911840116087,-0.06939183193837706
441.0,0.27692925930023193,0.3497670413965427,-0.07283778209631075
442.0,0.27704328298568726,0.3485380238202765,-0.07149474083458923
443.0,0.28122949600219727,0.34730303524615097,-0.0660735392439537
444.0,0.2832494080066681,0.3460630276096884,-0.06281361960302029
445.0,0.28005528450012207,0.3448189346045289,-0.06476365010440682
446.0,0.27600613236427307,0.3435716711633227,-0.06756553879904964
447.0,0.27536043524742126,0.34232213302118575,-0.06696169777376448
448.0,0.27356642484664917,0.34107119635960154,-0.06750477151295237
449.0,0.2719564735889435,0.3398197175284918,-0.06786324393954835
450.0,0.2747451961040497,0.3385685328440631,-0.06382333674001339
451.0,0.28244325518608093,0.33731845845993286,-0.054875203273851925
452.0,0.28733381628990173,0.3360702903089765,-0.04873647401907477
453.0,0.2875072658061981,0.33482480411328264,-0.04731753830708452
454.0,0.2871108055114746,0.3335827554595932,-0.046471949948118596
455.0,0.28662577271461487,0.3323448799375992,-0.045719107222984334
456.0,0.2854488790035248,0.33111189333848956,-0.04566301433496478
457.0,0.2836010754108429,0.329884491911194,-0.046283416500351116
458.0,0.28055301308631897,0.3286633526738236,-0.04811033958750466
459.0,0.27415701746940613,0.32744913377789164,-0.053292116308485515
460.0,0.2696859836578369,0.32624247492299363,-0.056556491265156716
461.0,0.27027201652526855,0.3250439978197429,-0.05477198129447436
462.0,0.27199363708496094,0.32385430669887383,-0.05186066961391289
463.0,0.2727804183959961,0.3226739888645751,-0.04989357046857901
464.0,0.26881006360054016,0.3215036152902614,-0.05269355168972123
465.0,0.2625487446784973,0.32034374125515397,-0.057794996576656654
466.0,0.26070597767829895,0.3191949070202183,-0.05848892934191935
467.0,0.27085331082344055,0.31805763854218877,-0.04720432771874822
468.0,0.27981555461883545,0.3169324482245999,-0.03711689360576448
469.0,0.27913030982017517,0.31581983570495026,-0.03668952588477509
470.0,0.2812862694263458,0.3147202886773306,-0.03343401925098477
471.0,0.2815018594264984,0.3136342837500676,-0.032132424323569164
472.0,0.2779677212238312,0.3125622873381577,-0.03459456611432654
473.0,0.27411749958992004,0.311504756590498,-0.037387257000577934
474.0,0.2714022696018219,0.31046214035215897,-0.03905987075033707
475.0,0.2707117199897766,0.30943488016219023,-0.03872316017241362
476.0,0.2709906995296478,0.30842341128770295,-0.037432711758055126
477.0,0.27191486954689026,0.30742816379522564,-0.03551329424833538
478.0,0.27562904357910156,0.3064495636605992,-0.03082052008149766
479.0,0.2783564627170563,0.3054880339189436,-0.027131571201887306
480.0,0.2727578580379486,0.3045439958564984,-0.031786137818549776
481.0,0.26060017943382263,0.3036178702464248,-0.04301769081260215
482.0,0.25607582926750183,0.3027100786309277,-0.04663424936342586
483.0,0.267610102891922,0.3018210446523472,-0.03421094176042522
484.0,0.2825089991092682,0.30095119543614474,-0.018442196326876548
485.0,0.28649744391441345,0.30010096302898764,-0.013603519114574192
486.0,0.287405401468277,0.29927078589541534,-0.011865384427138359
487.0,0.28785064816474915,0.29846111047682505,-0.010610462312075908
488.0,0.28878435492515564,0.2976723928167709,-0.008888037891615241
489.0,0.2912386655807495,0.2969051002567871,-0.005666434676037613
490.0,0.2924317419528961,0.29615971320715767,-0.003727971254261553
491.0,0.2878212034702301,0.2954367269971907,-0.007615523526960599
492.0,0.28121092915534973,0.2947366538096797,-0.013525724654329996
493.0,0.28042730689048767,0.29406002470425296,-0.013632717813765294
494.0,0.28410041332244873,0.2934073917342643,-0.009306978411815547
495.0,0.28736433386802673,0.2927793301617097,-0.005414996293682972
496.0,0.28482118248939514,0.2921764407743395,-0.007355258284944377
497.0,0.2753877341747284,0.29159935230864875,-0.016211618133920358
498.0,0.2695865333080292,0.29104872398170517,-0.021462190673675996
499.0,0.2769114673137665,0.2905252481337848,-0.013613780820018295
500.0,0.2897019386291504,0.29002965298243577,-0.0003277143532853799
501.0,0.2925611734390259,0.28956270548682195,0.0029984679522039315
502.0,0.2741999924182892,0.28912521431890803,-0.014925221900618846
503.0,0.25400686264038086,0.2887180329351004,-0.03471117029471954
504.0,0.2556711733341217,0.28834206273824575,-0.03267088940412405
505.0,0.2757513225078583,0.28799825631520737,-0.012246933807349092
506.0,0.2899540960788727,0.28768762072940407,0.0022664753494686107
507.0,0.2927505075931549,0.28741122084046844,0.005339286752686467
508.0,0.2979826033115387,0.2871701826142478,0.010812420697290881
509.0,0.29992616176605225,0.2869656963754339,0.012960465390618348
510.0,0.2988739013671875,0.2867990199417152,0.012074881425472306
511.0,0.29743367433547974,0.2866714815620865,0.010762192773393242
512.0,0.29747453331947327,0.2865844825622361,0.010890050757237146
513.0,0.30073681473731995,0.28653949957617636,0.014197315161143587
514.0,0.3028050363063812,0.2865380862147616,0.016266950091619603
515.0,0.2972700595855713,0.2865818739876823,0.010688185597888977
516.0,0.28641414642333984,0.2866725722550452,-0.0002584258317053778
517.0,0.2820001542568207,0.28681196693685973,-0.0048118126800390515
518.0,0.28913602232933044,0.2870019176526556,0.002134104676674853
519.0,0.2982873022556305,0.2872443528981694,0.011042949357461085
520.0,0.30002453923225403,0.2875412627906866,0.012483276441567437
521.0,0.2997710406780243,0.2878946888286448,0.011876351849379518
522.0,0.2992032766342163,0.2883067100142453,0.010896566619971015
523.0,0.3031502664089203,0.28877942458053846,0.01437084182838183
524.0,0.31420403718948364,0.2893149264481089,0.02488911074137473
525.0,0.31936800479888916,0.28991527541390505,0.02945272938498411
526.0,0.3143058717250824,0.2905824599507085,0.02372341177437387
527.0,0.30745744705200195,0.2913183513777,0.01613909567430194
528.0,0.30577564239501953,0.29212464806162075,0.01365099433339878
529.0,0.3044348657131195,0.29300280823984937,0.01143205747327014
530.0,0.3032863140106201,0.2939539700427172,0.00933234396790289
531.0,0.3019163906574249,0.29497885736093765,0.006937533296487275
532.0,0.29848170280456543,0.2960776703912288,0.002404032413336643
533.0,0.2968783974647522,0.2972499600435789,-0.00037156257882670074
534.0,0.2983843982219696,0.2984944859593701,-0.00011008773740051048
535.0,0.30103304982185364,0.29980905872881297,0.0012239910930406661
536.0,0.3028312623500824,0.301190368068148,0.001640894281934424
537.0,0.30106380581855774,0.30263380027458014,-0.0015699944560224055
538.0,0.29967954754829407,0.30413325025387994,-0.004453702705585871
539.0,0.30565205216407776,0.3056809358098943,-2.8883645816546455e-05
540.0,0.31871429085731506,0.3072672246364525,0.011447066220862556
541.0,0.32506656646728516,0.30888048741572355,0.016186079051561608
542.0,0.3184695541858673,0.31050699334845044,0.007962560837416865
543.0,0.3087191879749298,0.3121308669368562,-0.003411678961926401
544.0,0.3058793246746063,0.31373412639446535,-0.007854801719859028
545.0,0.30719438195228577,0.31529682404606435,-0.008102442093778583
546.0,0.3092922866344452,0.31679730684283053,-0.007505020208385338
547.0,0.3132721483707428,0.31821261006454427,-0.004940461693801468
548.0,0.3214295506477356,0.31951898906087317,0.0019105615868624248
549.0,0.3261013329029083,0.32069258256713834,0.005408750335769985
550.0,0.32394933700561523,0.3217101873781206,0.0022391496274946077
551.0,0.3193056881427765,0.32255010932088424,-0.003244421178107748
552.0,0.3168768286705017,0.3231930415109796,-0.006316212840477897
553.0,0.319473534822464,0.32362291017506983,-0.004149375352605844
554.0,0.3213115334510803,0.32382762321307135,-0.002516089761991025
555.0,0.31780657172203064,0.32379965891582274,-0.0059930871937921015
556.0,0.3128332793712616,0.32353644251681674,-0.010703163145555139
557.0,0.3099915683269501,0.3230404757790773,-0.013048907452127223
558.0,0.31606724858283997,0.32231920741082226,-0.006251958827982296
559.0,0.3251296877861023,0.32138465651646153,0.003745031269640764
560.0,0.3256274163722992,0.32025282388201737,0.0053745924902818265
561.0,0.3195493519306183,0.31894294341657126,0.0006064085140470299
562.0,0.31420668959617615,0.317476636333819,-0.0032699467376428593
563.0,0.3140520751476288,0.31587703290070107,-0.0018249577530722871
564.0,0.31518200039863586,0.3141679214700856,0.001014078928550266
565.0,0.31336525082588196,0.31237297381314144,0.0009922770127405167
566.0,0.30958661437034607,0.31051508181041565,-0.0009284674400695803
567.0,0.3065258264541626,0.30861582571804896,-0.0020899992638863663
568.0,0.30468836426734924,0.30669508047372684,-0.002006716206377601
569.0,0.302890419960022,0.3047707551903935,-0.0018803352303715104
